Loyalty Number,Enrollment Date,Cancellation Date,First_Activity,Last_Activity,Activity_Row_Count
845864,2013-04-01,,2017-01-01,2018-12-01,24.0
645265,2013-03-01,,2017-01-01,2018-12-01,24.0
223587,2017-08-01,,2017-01-01,2018-12-01,24.0
158560,2015-12-01,,2017-01-01,2018-12-01,24.0
417584,2014-05-01,,2017-01-01,2018-12-01,24.0
566033,2015-06-01,2016-07-01,2017-01-01,2018-12-01,24.0
472521,2018-03-01,,2018-02-01,2018-12-01,11.0
425854,2016-11-01,,2017-01-01,2018-12-01,24.0
174896,2015-04-01,2015-12-01,2017-01-01,2018-12-01,24.0
695855,2013-04-01,,2017-01-01,2018-12-01,24.0
699511,2014-07-01,,2017-01-01,2018-12-01,24.0
377322,2016-05-01,,2017-01-01,2018-12-01,24.0
511053,2015-03-01,,2017-01-01,2018-12-01,24.0
890753,2017-09-01,,2017-01-01,2018-12-01,24.0
796670,2014-02-01,,2017-01-01,2018-12-01,24.0
556136,2017-01-01,,2017-01-01,2018-12-01,24.0
513081,2015-11-01,,2017-01-01,2018-12-01,24.0
930718,2015-07-01,,2017-01-01,2018-12-01,24.0
235872,2013-03-01,,2017-01-01,2018-12-01,24.0
881142,2016-09-01,2017-05-01,2017-01-01,2018-12-01,24.0
295147,2017-05-01,,2017-01-01,2018-12-01,24.0
306110,2013-05-01,,2017-01-01,2018-12-01,24.0
295217,2016-06-01,,2017-01-01,2018-12-01,24.0
967300,2018-03-01,2018-11-01,2018-02-01,2018-12-01,11.0
591731,2013-09-01,,2017-01-01,2018-12-01,24.0
326905,2017-02-01,,2017-01-01,2018-12-01,24.0
375511,2014-07-01,,2017-01-01,2018-12-01,24.0
485283,2017-09-01,,2017-01-01,2018-12-01,24.0
920716,2018-04-01,,2018-02-01,2018-12-01,11.0
797685,2017-06-01,,2017-01-01,2018-12-01,24.0
216467,2014-07-01,,2017-01-01,2018-12-01,24.0
958839,2018-08-01,,2017-01-01,2018-12-01,24.0
539673,2015-02-01,2018-06-01,2017-01-01,2018-12-01,24.0
746226,2018-01-01,,2017-01-01,2018-12-01,24.0
484718,2012-06-01,,2017-01-01,2018-12-01,24.0
528492,2015-06-01,2018-11-01,2017-01-01,2018-12-01,24.0
995091,2017-09-01,,2017-01-01,2018-12-01,24.0
632793,2016-06-01,,2017-01-01,2018-12-01,24.0
912220,2013-08-01,2014-04-01,2017-01-01,2018-12-01,24.0
382197,2017-10-01,2018-06-01,2017-01-01,2018-12-01,24.0
705196,2013-11-01,,2017-01-01,2018-12-01,24.0
123094,2018-01-01,,2017-01-01,2018-12-01,24.0
366540,2018-03-01,,2018-02-01,2018-12-01,11.0
119488,2017-06-01,,2017-01-01,2018-12-01,24.0
287750,2012-08-01,,2017-01-01,2018-12-01,24.0
735846,2012-08-01,,2017-01-01,2018-12-01,24.0
606026,2015-07-01,,2017-01-01,2018-12-01,24.0
460291,2015-09-01,,2017-01-01,2018-12-01,24.0
743001,2017-05-01,,2017-01-01,2018-12-01,24.0
869799,2015-03-01,,2017-01-01,2018-12-01,24.0
520321,2015-09-01,2016-05-01,2017-01-01,2018-12-01,24.0
279419,2013-07-01,,2017-01-01,2018-12-01,24.0
170585,2013-08-01,,2017-01-01,2018-12-01,24.0
188340,2017-04-01,,2017-01-01,2018-12-01,24.0
670817,2016-12-01,,2017-01-01,2018-12-01,24.0
509513,2012-12-01,,2017-01-01,2018-12-01,24.0
779247,2012-09-01,,2017-01-01,2018-12-01,24.0
111255,2013-03-01,,2017-01-01,2018-12-01,24.0
763061,2014-04-01,,2017-01-01,2018-12-01,24.0
766335,2018-02-01,,2018-02-01,2018-12-01,11.0
428919,2015-07-01,,2017-01-01,2018-12-01,24.0
139863,2015-10-01,,2017-01-01,2018-12-01,24.0
695755,2012-04-01,,2017-01-01,2018-12-01,24.0
355331,2013-07-01,,2017-01-01,2018-12-01,24.0
578837,2012-05-01,,2017-01-01,2018-12-01,24.0
603248,2016-02-01,2016-10-01,2017-01-01,2018-12-01,24.0
467182,2013-12-01,2018-10-01,2017-01-01,2018-12-01,24.0
601407,2015-09-01,,2017-01-01,2018-12-01,24.0
700871,2015-12-01,,2017-01-01,2018-12-01,24.0
203809,2012-07-01,,2017-01-01,2018-12-01,24.0
705589,2012-05-01,,2017-01-01,2018-12-01,24.0
354438,2018-09-01,,2017-01-01,2018-12-01,24.0
746060,2014-04-01,,2017-01-01,2018-12-01,24.0
469718,2013-01-01,,2017-01-01,2018-12-01,24.0
164429,2012-09-01,,2017-01-01,2018-12-01,24.0
708373,2017-03-01,,2017-01-01,2018-12-01,24.0
225088,2015-09-01,,2017-01-01,2018-12-01,24.0
100214,2015-08-01,,2017-01-01,2018-12-01,24.0
459999,2017-09-01,,2017-01-01,2018-12-01,24.0
553936,2014-12-01,2015-08-01,2017-01-01,2018-12-01,24.0
268128,2013-01-01,,2017-01-01,2018-12-01,24.0
930584,2015-07-01,,2017-01-01,2018-12-01,24.0
327796,2017-06-01,,2017-01-01,2018-12-01,24.0
947467,2015-02-01,,2017-01-01,2018-12-01,24.0
743510,2016-05-01,,2017-01-01,2018-12-01,24.0
580324,2013-06-01,,2017-01-01,2018-12-01,24.0
845613,2018-10-01,,2017-01-01,2018-12-01,24.0
645919,2018-03-01,,2018-02-01,2018-12-01,11.0
423324,2017-12-01,,2017-01-01,2018-12-01,24.0
101945,2013-11-01,,2017-01-01,2018-12-01,24.0
713636,2014-08-01,,2017-01-01,2018-12-01,24.0
302509,2017-03-01,,2017-01-01,2018-12-01,24.0
789421,2016-11-01,,2017-01-01,2018-12-01,24.0
914255,2015-11-01,2016-07-01,2017-01-01,2018-12-01,24.0
675879,2018-02-01,,2018-02-01,2018-12-01,11.0
404426,2014-09-01,,2017-01-01,2018-12-01,24.0
260106,2013-06-01,2017-04-01,2017-01-01,2018-12-01,24.0
827194,2018-03-01,,2018-02-01,2018-12-01,11.0
438023,2013-01-01,,2017-01-01,2018-12-01,24.0
397518,2018-01-01,2018-09-01,2017-01-01,2018-12-01,24.0
645742,2014-08-01,2015-08-01,2017-01-01,2018-12-01,24.0
872932,2015-03-01,,2017-01-01,2018-12-01,24.0
407945,2012-12-01,,2017-01-01,2018-12-01,24.0
211714,2015-06-01,,2017-01-01,2018-12-01,24.0
410982,2017-02-01,,2017-01-01,2018-12-01,24.0
905213,2015-10-01,,2017-01-01,2018-12-01,24.0
147898,2012-08-01,,2017-01-01,2018-12-01,24.0
530105,2017-11-01,2018-07-01,2017-01-01,2018-12-01,24.0
610946,2016-12-01,,2017-01-01,2018-12-01,24.0
383108,2012-06-01,,2017-01-01,2018-12-01,24.0
836343,2017-04-01,,2017-01-01,2018-12-01,24.0
110262,2018-02-01,,2018-02-01,2018-12-01,11.0
585357,2016-10-01,,2017-01-01,2018-12-01,24.0
784804,2015-08-01,,2017-01-01,2018-12-01,24.0
719633,2016-12-01,,2017-01-01,2018-12-01,24.0
715764,2016-08-01,,2017-01-01,2018-12-01,24.0
753473,2013-07-01,,2017-01-01,2018-12-01,24.0
980856,2015-02-01,,2017-01-01,2018-12-01,24.0
271660,2015-04-01,,2017-01-01,2018-12-01,24.0
342980,2018-02-01,,2018-02-01,2018-12-01,11.0
830547,2018-05-01,,2017-01-01,2018-12-01,24.0
264936,2013-08-01,,2017-01-01,2018-12-01,24.0
436498,2013-11-01,2016-03-01,2017-01-01,2018-12-01,24.0
976513,2014-08-01,,2017-01-01,2018-12-01,24.0
828776,2017-05-01,,2017-01-01,2018-12-01,24.0
240362,2014-10-01,,2017-01-01,2018-12-01,24.0
137845,2013-06-01,,2017-01-01,2018-12-01,24.0
430569,2016-10-01,,2017-01-01,2018-12-01,24.0
317001,2018-08-01,,2017-01-01,2018-12-01,24.0
625870,2013-08-01,,2017-01-01,2018-12-01,24.0
660554,2017-10-01,,2017-01-01,2018-12-01,24.0
917630,2016-12-01,,2017-01-01,2018-12-01,24.0
670686,2018-05-01,,2017-01-01,2018-12-01,24.0
717660,2015-03-01,,2017-01-01,2018-12-01,24.0
450621,2015-03-01,,2017-01-01,2018-12-01,24.0
939562,2016-12-01,,2017-01-01,2018-12-01,24.0
135250,2013-08-01,,2017-01-01,2018-12-01,24.0
714555,2013-08-01,,2017-01-01,2018-12-01,24.0
947868,2012-05-01,,2017-01-01,2018-12-01,24.0
573661,2018-08-01,,2017-01-01,2018-12-01,24.0
228580,2012-05-01,,2017-01-01,2018-12-01,24.0
557500,2015-11-01,,2017-01-01,2018-12-01,24.0
238233,2017-04-01,,2017-01-01,2018-12-01,24.0
979309,2013-03-01,,2017-01-01,2018-12-01,24.0
342483,2018-03-01,,2018-02-01,2018-12-01,11.0
833569,2017-09-01,,2017-01-01,2018-12-01,24.0
120046,2017-07-01,,2017-01-01,2018-12-01,24.0
816881,2018-06-01,,2017-01-01,2018-12-01,24.0
717700,2015-09-01,,2017-01-01,2018-12-01,24.0
384146,2018-04-01,2018-12-01,2018-02-01,2018-12-01,11.0
245465,2015-08-01,,2017-01-01,2018-12-01,24.0
510372,2018-07-01,,2017-01-01,2018-12-01,24.0
709920,2013-01-01,,2017-01-01,2018-12-01,24.0
156031,2014-12-01,2015-08-01,2017-01-01,2018-12-01,24.0
143784,2013-01-01,,2017-01-01,2018-12-01,24.0
602176,2016-08-01,2018-05-01,2017-01-01,2018-12-01,24.0
870998,2016-04-01,,2017-01-01,2018-12-01,24.0
958224,2015-12-01,,2017-01-01,2018-12-01,24.0
837628,2014-10-01,,2017-01-01,2018-12-01,24.0
395460,2013-12-01,,2017-01-01,2018-12-01,24.0
136547,2012-09-01,,2017-01-01,2018-12-01,24.0
780631,2018-11-01,,2017-01-01,2018-12-01,24.0
166712,2014-08-01,,2017-01-01,2018-12-01,24.0
217695,2013-09-01,,2017-01-01,2018-12-01,24.0
263707,2014-05-01,,2017-01-01,2018-12-01,24.0
638368,2013-11-01,,2017-01-01,2018-12-01,24.0
695529,2012-12-01,,2017-01-01,2018-12-01,24.0
871203,2017-12-01,,2017-01-01,2018-12-01,24.0
915571,2015-07-01,,2017-01-01,2018-12-01,24.0
642109,2014-02-01,,2017-01-01,2018-12-01,24.0
833701,2014-02-01,,2017-01-01,2018-12-01,24.0
275442,2016-01-01,,2017-01-01,2018-12-01,24.0
374345,2015-10-01,,2017-01-01,2018-12-01,24.0
384825,2012-08-01,,2017-01-01,2018-12-01,24.0
559233,2018-07-01,,2017-01-01,2018-12-01,24.0
564650,2013-08-01,,2017-01-01,2018-12-01,24.0
277649,2012-08-01,,2017-01-01,2018-12-01,24.0
176885,2015-12-01,2016-08-01,2017-01-01,2018-12-01,24.0
732013,2015-09-01,,2017-01-01,2018-12-01,24.0
793318,2016-02-01,,2017-01-01,2018-12-01,24.0
830024,2015-04-01,,2017-01-01,2018-12-01,24.0
223684,2018-07-01,,2017-01-01,2018-12-01,24.0
723262,2018-10-01,,2017-01-01,2018-12-01,24.0
879892,2018-05-01,,2017-01-01,2018-12-01,24.0
966117,2012-09-01,,2017-01-01,2018-12-01,24.0
258358,2016-07-01,2017-03-01,2017-01-01,2018-12-01,24.0
265836,2013-06-01,,2017-01-01,2018-12-01,24.0
474174,2015-11-01,2018-01-01,2017-01-01,2018-12-01,24.0
474172,2015-05-01,2016-03-01,2017-01-01,2018-12-01,24.0
202299,2017-03-01,,2017-01-01,2018-12-01,24.0
497467,2015-03-01,,2017-01-01,2018-12-01,24.0
971902,2014-01-01,2015-11-01,2017-01-01,2018-12-01,24.0
134279,2018-08-01,,2017-01-01,2018-12-01,24.0
474757,2014-04-01,2015-05-01,2017-01-01,2018-12-01,24.0
635225,2015-03-01,,2017-01-01,2018-12-01,24.0
980198,2017-02-01,,2017-01-01,2018-12-01,24.0
995693,2018-05-01,,2017-01-01,2018-12-01,24.0
861924,2013-09-01,,2017-01-01,2018-12-01,24.0
639383,2018-10-01,,2017-01-01,2018-12-01,24.0
769731,2016-03-01,,2017-01-01,2018-12-01,24.0
884530,2018-07-01,,2017-01-01,2018-12-01,24.0
207372,2017-12-01,,2017-01-01,2018-12-01,24.0
236300,2015-08-01,2016-08-01,2017-01-01,2018-12-01,24.0
543553,2018-11-01,,2017-01-01,2018-12-01,24.0
639701,2012-04-01,,2017-01-01,2018-12-01,24.0
998090,2016-07-01,,2017-01-01,2018-12-01,24.0
283747,2016-04-01,,2017-01-01,2018-12-01,24.0
863122,2018-05-01,,2017-01-01,2018-12-01,24.0
816593,2015-11-01,,2017-01-01,2018-12-01,24.0
440939,2016-09-01,,2017-01-01,2018-12-01,24.0
531201,2012-08-01,,2017-01-01,2018-12-01,24.0
585629,2016-03-01,,2017-01-01,2018-12-01,24.0
347932,2012-09-01,,2017-01-01,2018-12-01,24.0
417886,2015-02-01,,2017-01-01,2018-12-01,24.0
514900,2018-07-01,,2017-01-01,2018-12-01,24.0
203550,2013-11-01,,2017-01-01,2018-12-01,24.0
181825,2015-04-01,,2017-01-01,2018-12-01,24.0
261582,2012-07-01,,2017-01-01,2018-12-01,24.0
679859,2014-09-01,,2017-01-01,2018-12-01,24.0
977693,2018-02-01,,2018-02-01,2018-12-01,11.0
122958,2016-06-01,,2017-01-01,2018-12-01,24.0
274698,2013-09-01,2018-03-01,2017-01-01,2018-12-01,24.0
443967,2018-03-01,,2018-02-01,2018-12-01,11.0
652291,2013-10-01,,2017-01-01,2018-12-01,24.0
603775,2014-03-01,,2017-01-01,2018-12-01,24.0
948404,2014-12-01,,2017-01-01,2018-12-01,24.0
605877,2016-12-01,,2017-01-01,2018-12-01,24.0
994377,2013-12-01,,2017-01-01,2018-12-01,24.0
766927,2016-04-01,,2017-01-01,2018-12-01,24.0
556492,2018-03-01,,2018-02-01,2018-12-01,11.0
702588,2016-11-01,,2017-01-01,2018-12-01,24.0
798248,2012-05-01,,2017-01-01,2018-12-01,24.0
641448,2015-11-01,,2017-01-01,2018-12-01,24.0
406047,2017-03-01,,2017-01-01,2018-12-01,24.0
538902,2017-10-01,,2017-01-01,2018-12-01,24.0
855602,2018-03-01,,2018-02-01,2018-12-01,11.0
883242,2018-10-01,,2017-01-01,2018-12-01,24.0
909134,2016-05-01,,2017-01-01,2018-12-01,24.0
294753,2015-01-01,,2017-01-01,2018-12-01,24.0
606076,2018-11-01,,2017-01-01,2018-12-01,24.0
120613,2018-12-01,,2017-01-01,2018-12-01,24.0
520094,2016-10-01,,2017-01-01,2018-12-01,24.0
754539,2016-06-01,,2017-01-01,2018-12-01,24.0
189611,2012-10-01,,2017-01-01,2018-12-01,24.0
971599,2013-06-01,,2017-01-01,2018-12-01,24.0
485189,2012-09-01,,2017-01-01,2018-12-01,24.0
521384,2016-01-01,,2017-01-01,2018-12-01,24.0
128039,2014-09-01,,2017-01-01,2018-12-01,24.0
565133,2013-04-01,,2017-01-01,2018-12-01,24.0
947876,2018-12-01,,2017-01-01,2018-12-01,24.0
138746,2012-12-01,,2017-01-01,2018-12-01,24.0
564707,2013-10-01,,2017-01-01,2018-12-01,24.0
712114,2018-04-01,,2018-02-01,2018-12-01,11.0
174996,2014-10-01,,2017-01-01,2018-12-01,24.0
798854,2017-06-01,,2017-01-01,2018-12-01,24.0
800075,2016-02-01,,2017-01-01,2018-12-01,24.0
410384,2012-09-01,,2017-01-01,2018-12-01,24.0
692304,2016-10-01,,2017-01-01,2018-12-01,24.0
991672,2017-04-01,,2017-01-01,2018-12-01,24.0
344180,2017-07-01,,2017-01-01,2018-12-01,24.0
703338,2018-11-01,,2017-01-01,2018-12-01,24.0
922388,2016-12-01,,2017-01-01,2018-12-01,24.0
471018,2015-08-01,2017-04-01,2017-01-01,2018-12-01,24.0
655743,2013-07-01,,2017-01-01,2018-12-01,24.0
787472,2017-09-01,,2017-01-01,2018-12-01,24.0
667687,2018-11-01,,2017-01-01,2018-12-01,24.0
348920,2013-04-01,,2017-01-01,2018-12-01,24.0
523394,2014-11-01,,2017-01-01,2018-12-01,24.0
430521,2018-12-01,,2017-01-01,2018-12-01,24.0
981581,2013-10-01,,2017-01-01,2018-12-01,24.0
639510,2012-12-01,,2017-01-01,2018-12-01,24.0
744675,2015-02-01,,2017-01-01,2018-12-01,24.0
289177,2014-12-01,,2017-01-01,2018-12-01,24.0
271641,2018-03-01,2018-12-01,2018-02-01,2018-12-01,11.0
357149,2016-05-01,,2017-01-01,2018-12-01,24.0
876207,2014-07-01,,2017-01-01,2018-12-01,24.0
224384,2013-04-01,,2017-01-01,2018-12-01,24.0
650445,2016-08-01,,2017-01-01,2018-12-01,24.0
399982,2013-06-01,,2017-01-01,2018-12-01,24.0
228984,2015-11-01,,2017-01-01,2018-12-01,24.0
221388,2013-07-01,,2017-01-01,2018-12-01,24.0
710053,2016-06-01,,2017-01-01,2018-12-01,24.0
591576,2012-11-01,,2017-01-01,2018-12-01,24.0
696577,2018-04-01,,2018-02-01,2018-12-01,11.0
836475,2014-08-01,,2017-01-01,2018-12-01,24.0
686223,2018-04-01,,2018-02-01,2018-12-01,11.0
450979,2018-11-01,,2017-01-01,2018-12-01,24.0
392235,2013-07-01,,2017-01-01,2018-12-01,24.0
529218,2015-02-01,,2017-01-01,2018-12-01,24.0
549132,2017-05-01,,2017-01-01,2018-12-01,24.0
782523,2018-09-01,,2017-01-01,2018-12-01,24.0
566343,2013-12-01,2015-04-01,2017-01-01,2018-12-01,24.0
263729,2014-03-01,2014-11-01,2017-01-01,2018-12-01,24.0
326561,2015-01-01,2017-05-01,2017-01-01,2018-12-01,24.0
430880,2018-04-01,,2018-02-01,2018-12-01,11.0
216652,2018-02-01,2018-10-01,2018-02-01,2018-12-01,11.0
561092,2018-11-01,,2017-01-01,2018-12-01,24.0
234866,2014-08-01,,2017-01-01,2018-12-01,24.0
721984,2017-03-01,,2017-01-01,2018-12-01,24.0
772397,2014-04-01,,2017-01-01,2018-12-01,24.0
685792,2016-07-01,2017-09-01,2017-01-01,2018-12-01,24.0
344199,2012-07-01,,2017-01-01,2018-12-01,24.0
909385,2016-03-01,,2017-01-01,2018-12-01,24.0
211043,2012-07-01,,2017-01-01,2018-12-01,24.0
459801,2012-06-01,,2017-01-01,2018-12-01,24.0
958243,2017-01-01,,2017-01-01,2018-12-01,24.0
517758,2012-12-01,,2017-01-01,2018-12-01,24.0
712062,2016-08-01,,2017-01-01,2018-12-01,24.0
845945,2014-01-01,,2017-01-01,2018-12-01,24.0
324707,2013-03-01,,2017-01-01,2018-12-01,24.0
184635,2014-10-01,,2017-01-01,2018-12-01,24.0
947123,2017-11-01,2018-04-01,2017-01-01,2018-12-01,24.0
432598,2014-09-01,,2017-01-01,2018-12-01,24.0
524483,2014-12-01,,2017-01-01,2018-12-01,24.0
413445,2017-08-01,2018-04-01,2017-01-01,2018-12-01,24.0
257575,2016-06-01,,2017-01-01,2018-12-01,24.0
352834,2017-08-01,,2017-01-01,2018-12-01,24.0
127590,2017-04-01,,2017-01-01,2018-12-01,24.0
846374,2016-03-01,,2017-01-01,2018-12-01,24.0
651054,2018-05-01,,2017-01-01,2018-12-01,24.0
674637,2018-03-01,,2018-02-01,2018-12-01,11.0
130368,2013-10-01,,2017-01-01,2018-12-01,24.0
752331,2015-03-01,,2017-01-01,2018-12-01,24.0
986825,2013-09-01,,2017-01-01,2018-12-01,24.0
882024,2018-09-01,,2017-01-01,2018-12-01,24.0
981343,2012-10-01,,2017-01-01,2018-12-01,24.0
101581,2012-10-01,,2017-01-01,2018-12-01,24.0
321557,2013-12-01,2014-09-01,2017-01-01,2018-12-01,24.0
390719,2014-03-01,2014-10-01,2017-01-01,2018-12-01,24.0
329358,2018-01-01,,2017-01-01,2018-12-01,24.0
497494,2016-07-01,,2017-01-01,2018-12-01,24.0
821379,2017-09-01,2018-05-01,2017-01-01,2018-12-01,24.0
361816,2014-03-01,,2017-01-01,2018-12-01,24.0
517612,2013-07-01,2016-01-01,2017-01-01,2018-12-01,24.0
734192,2016-01-01,,2017-01-01,2018-12-01,24.0
774724,2016-05-01,,2017-01-01,2018-12-01,24.0
984824,2018-04-01,,2018-02-01,2018-12-01,11.0
906396,2016-01-01,,2017-01-01,2018-12-01,24.0
722976,2016-10-01,,2017-01-01,2018-12-01,24.0
747304,2012-07-01,,2017-01-01,2018-12-01,24.0
613804,2016-06-01,,2017-01-01,2018-12-01,24.0
995877,2018-01-01,,2017-01-01,2018-12-01,24.0
446968,2015-01-01,2015-09-01,2017-01-01,2018-12-01,24.0
123928,2018-12-01,,2017-01-01,2018-12-01,24.0
237105,2017-11-01,,2017-01-01,2018-12-01,24.0
395026,2014-10-01,,2017-01-01,2018-12-01,24.0
702493,2017-02-01,2017-10-01,2017-01-01,2018-12-01,24.0
894466,2014-02-01,,2017-01-01,2018-12-01,24.0
610393,2014-03-01,,2017-01-01,2018-12-01,24.0
800726,2017-02-01,,2017-01-01,2018-12-01,24.0
111171,2015-02-01,,2017-01-01,2018-12-01,24.0
133324,2018-04-01,,2018-02-01,2018-12-01,11.0
842064,2013-12-01,2014-08-01,2017-01-01,2018-12-01,24.0
149542,2014-10-01,2014-11-01,2017-01-01,2018-12-01,24.0
779434,2015-06-01,,2017-01-01,2018-12-01,24.0
203184,2014-08-01,,2017-01-01,2018-12-01,24.0
225077,2012-10-01,,2017-01-01,2018-12-01,24.0
365816,2016-08-01,,2017-01-01,2018-12-01,24.0
781463,2015-07-01,,2017-01-01,2018-12-01,24.0
644786,2015-07-01,,2017-01-01,2018-12-01,24.0
441440,2017-02-01,,2017-01-01,2018-12-01,24.0
756791,2013-08-01,,2017-01-01,2018-12-01,24.0
676676,2015-10-01,2016-06-01,2017-01-01,2018-12-01,24.0
401858,2017-08-01,2018-04-01,2017-01-01,2018-12-01,24.0
819569,2015-04-01,,2017-01-01,2018-12-01,24.0
428826,2018-05-01,,2017-01-01,2018-12-01,24.0
132563,2018-04-01,,2018-02-01,2018-12-01,11.0
518533,2018-05-01,,2017-01-01,2018-12-01,24.0
568547,2016-02-01,,2017-01-01,2018-12-01,24.0
761007,2012-10-01,,2017-01-01,2018-12-01,24.0
830931,2013-02-01,,2017-01-01,2018-12-01,24.0
229204,2018-08-01,,2017-01-01,2018-12-01,24.0
437269,2016-03-01,2018-01-01,2017-01-01,2018-12-01,24.0
202761,2013-01-01,2014-07-01,2017-01-01,2018-12-01,24.0
723390,2013-01-01,2017-03-01,2017-01-01,2018-12-01,24.0
956005,2016-12-01,,2017-01-01,2018-12-01,24.0
